id,slug,title,artist,inLibrary,bpm,bpmZone,keySignature,energyLevel,danceabilityNormalized,durationSeconds,primaryGenre,folders,playlists,file
33e1bb2d-8f70-4c42-8274-105116bdbbca,sergik-x-slick-floyd-listen-up--33e1bb2d,"SERGIK x Slick Floyd - Listen Up","SERGIK",true,123.05,house,C minor,3.4,0.74,244,"Reggae","Funktioneers","Funktioneers",tracks/sergik-x-slick-floyd-listen-up--33e1bb2d.json
3d91d79b-751c-4500-8614-7ca42dadba20,sergik-x-slick-floyd-pharoe--3d91d79b,"SERGIK x Slick Floyd - Pharoe","SERGIK",true,129.2,tech_house,F minor,3.9,0.76,198,"Experimental Bass","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-slick-floyd-pharoe--3d91d79b.json
39315414-8282-4612-ae38-fad04a60e9b7,sergik-x-srija-disco-power--39315414,"SERGIK x SRIJA - Disco Power","SERGIK",true,123.05,house,C minor,4.4,0.78,244,"Funky House","Funktioneers","Funktioneers",tracks/sergik-x-srija-disco-power--39315414.json
b9484c5a-a149-48bd-9443-bef06eb39436,sergik-x-stan-the-guitarman-interstate-1--b9484c5a,"SERGIK x Stan The Guitarman - Interstate 1","SERGIK",true,123.05,house,E minor,2.7,0.71,262,"Funky House","Party Time","Party Time",tracks/sergik-x-stan-the-guitarman-interstate-1--b9484c5a.json
7b988de5-49da-476e-9c57-c9487c264d48,sergik-x-stov-everyday-dnb-vip--7b988de5,"SERGIK x Stov - Everyday (DnB ViP)","SERGIK",true,99.38,funk_fusion,A minor,4.2,0.68,208,"Hip-Hop","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-stov-everyday-dnb-vip--7b988de5.json
8fe39f93-e8be-4dbb-a7d0-47d42b9fae48,sergik-x-www-daft-punk-harder-better-faster-stronger-flip--8fe39f93,"SERGIK x WWW - Daft Punk - Harder Better Faster Stronger Flip","SERGIK",true,123.05,house,F# minor,1.6,0.66,332,"Funky House","Hip Hop","Hip Hop",tracks/sergik-x-www-daft-punk-harder-better-faster-stronger-flip--8fe39f93.json
b541d46b-b636-40fd-a52d-9560713ccbb2,sergik-x-zak-martin-bang-2-da-beat--b541d46b,"SERGIK x Zak Martin - Bang 2 Da Beat","SERGIK",true,83.35,downtempo,D major,4.7,0.79,229,"Slow House","Funktioneers","Funktioneers",tracks/sergik-x-zak-martin-bang-2-da-beat--b541d46b.json
eef37d35-be10-4ffe-ae6f-8888ab7bac12,sergik-x-zak-martin-throw-it-back--eef37d35,"SERGIK x Zak Martin - Throw it Back","SERGIK",true,129.2,tech_house,Unknown,5.9,0.84,225,"Experimental Bass","Funktioneers","Funktioneers",tracks/sergik-x-zak-martin-throw-it-back--eef37d35.json
8723c8b9-5c13-4987-8c4c-d03533c39aa9,sergik-x-zak-martin-wat-u-want--8723c8b9,"SERGIK x Zak Martin - Wat U Want","SERGIK",true,129.2,tech_house,A minor,3.7,0.75,238,"Tech House","Feelin Sendy","Feelin Sendy",tracks/sergik-x-zak-martin-wat-u-want--8723c8b9.json
79025e63-a9c7-4244-9a34-b85897e217a9,sergik-x-zak-martin-wat-u-want--79025e63,"SERGIK x Zak Martin - Wat U Want","SERGIK",false,129.2,tech_house,A minor,3.7,0.75,238,"Tech House","","",tracks/sergik-x-zak-martin-wat-u-want--79025e63.json
afe91781-e2bb-4c03-aacf-aebb877b695d,sergik-all-my-real-ones--afe91781,"SERGIK. - All My Real Ones","SERGIK",true,123.05,house,D major,3.9,0.76,250,"Reggae","The World Dont Stop","The World Dont Stop",tracks/sergik-all-my-real-ones--afe91781.json
3774f4e8-f252-412c-99c7-073ff543649a,silent-jay-x-sergik-move-me--3774f4e8,"Silent Jay x Sergik - Move Me","SERGIK",true,123.05,house,Unknown,3.3,0.73,326,"Experimental Bass","Deep n Funky","Deep n Funky",tracks/silent-jay-x-sergik-move-me--3774f4e8.json
fad41df6-c97d-40eb-bb44-f50fae8488f1,zack-thrasher-x-sergik-sauced--fad41df6,"Zack Thrasher X Sergik - Sauced","SERGIK",true,83.35,downtempo,C minor,4,0.76,230,"Reggae","Funktioneers","Funktioneers",tracks/zack-thrasher-x-sergik-sauced--fad41df6.json
